,logS,logSpH7,logP,logD,2C9pKi,hERGpIC50,BBB,Pgpcategory,MW,HBD,HBA,TPSA,Flexibility,RotatableBonds
TARTARIC ACID,6.16,4.312,-1.13,-4.908,3.946,1.362,-1.344,0,150.1,4,6,115.1,0.3333,3
TAZAROTENE,-0.2964,-0.2964,5.014,5.014,5.472,5.108,0.5922,0,351.5,0,3,39.19,0.1852,5
TAZOBACTAM,3.667,3.896,-0.5216,-3.002,4.656,3.042,-1.691,0,300.3,1,9,122.5,0.1364,3
TEGASEROD,2.893,2.782,1.564,0.1174,4.478,4.001,-1.598,1,301.4,5,6,96.29,0.3913,9
TELITHROMYCIN,1.033,3.643,3.253,2.471,4.686,4.795,-1.376,1,812,1,15,171.8,0.1774,11
TELMISARTAN,0.5461,1.501,5.778,3.002,6.21,6.109,-0.815,1,514.6,1,6,72.94,0.1591,7
TEMAZEPAM,2.684,2.684,2.189,2.189,5.081,4.454,-0.4626,0,300.7,1,4,52.9,0.04348,1
TEMOZOLOMIDE,4.588,4.588,-1.973,-1.973,3.916,3.629,-0.4524,0,194.2,1,8,108.2,0.06667,1
TENIPOSIDE,1.172,1.172,1.344,1.344,5.986,4.597,-1.253,1,656.7,3,13,160.8,0.1132,6
TE0FOVIR DISOPROXIL,2.067,3.59,2.03,1.586,4.711,4.831,-0.8441,1,519.4,1,15,185.4,0.4722,17
TERAZOSIN,3.032,1.389,1.476,1.249,5.266,5.27,-0.8189,1,387.4,1,9,103,0.1613,5
TERBINAFINE,2.097,1.067,5.195,3.606,4.779,6.322,0.09267,0,291.4,0,1,3.24,0.2609,6
TERBUTALINE,3.927,3.086,0.07971,-1.4,4.164,4.244,-0.6583,0,225.3,4,4,72.72,0.25,4
TERCONAZOLE,1.323,1.055,4.428,3.578,5.62,6.68,0.2932,1,532.5,0,8,64.88,0.2,8
TESTOLACTONE,1.915,1.915,2.891,2.891,4.972,4.499,-0.2785,0,300.4,0,3,43.37,0,0
TESTOSTERONE,2.446,2.446,3.32,3.32,4.839,4.883,-0.1891,0,288.4,1,2,37.3,0,0
TESTOSTERONE CYPIONATE,0.5379,0.5379,5.599,5.599,4.858,5.465,-0.01148,1,412.6,0,3,43.37,0.1471,5
TESTOSTERONE ENANTHATE,0.3067,0.3067,5.973,5.973,4.831,5.526,0.03046,0,400.6,0,3,43.37,0.2188,7
TESTOSTERONE PROPIONATE,0.63,0.63,4.347,4.347,4.8,4.955,-0.1112,0,344.5,0,3,43.37,0.1071,3
TETRACYCLINE,2.886,3.877,-1.47,-0.5504,4.751,2.407,-1.344,1,444.4,6,10,181.6,0.05714,2
TETRADECYL SULFATE,1.725,1.955,4.473,1.695,4.238,5.456,0.4945,1,294.5,1,4,63.6,0.6111,11
TETRAHYDROZOLINE,3.739,1.346,2.417,0.1486,4.449,4.338,-0.2688,0,200.3,1,2,24.39,0.05882,1
THALIDOMIDE,3.32,3.32,0.3299,0.3299,4.209,3.647,-0.04999,0,258.2,1,6,83.55,0.04762,1
THEOPHYLLINE,4.61,4.61,-0.01984,-0.01984,3.802,3.984,-0.4346,0,180.2,1,6,72.68,0,0
THIABENDAZOLE,3.502,3.502,2.518,2.518,4.388,4.618,-0.8565,1,201.2,1,3,41.57,0.0625,1
THIAMINE,2.81,2.783,1.79,-1.227,4.481,4.563,-0.8551,0,265.4,2,5,75.91,0.2105,4
THIAMYLAL,2.66,3.113,2.215,-0.1241,4.41,3.649,-0.2628,0,254.4,1,4,58.53,0.2941,5
THIETHYLPERAZINE,1.521,2.726,5.41,3.376,5.001,6.948,0.8834,1,399.6,0,3,9.72,0.2,6
THIOGUANINE,3.31,3.461,-0.0701,0.07619,3.774,3.84,-1.166,1,167.2,2,5,80.48,0,0
THIOPENTAL,2.782,2.907,2.191,0.02132,4.216,3.433,-0.3075,0,242.3,1,4,58.53,0.25,4
THIORIDAZINE,0.9524,2.563,5.9,3.55,4.876,6.501,1.026,1,370.6,0,2,6.48,0.1429,4
THIOTEPA,6,6,-0.1634,-0.1634,3.75,4.922,0.09073,0,189.2,0,3,9.03,0.2308,3
THIOTHIXENE,2.611,4.018,2.973,2.254,5.257,6.741,-0.02956,1,443.6,0,5,43.86,0.1515,5
THONZONIUM,1.452,1.458,7.567,3.005,4.634,7.97,0.5655,1,511.8,0,5,38.25,0.5789,22
TIAGABINE,1.815,2.489,4.447,1.191,5.007,4.751,-0.9129,1,375.6,1,3,40.54,0.2222,6
TICARCILLIN,2.992,4.541,0.839,-2.549,4.728,1.165,-1.845,0,384.4,3,8,124,0.2222,6
TICLOPIDINE,2.155,1.094,3.853,2.889,4.745,5.542,0.3018,0,263.8,0,1,3.24,0.1053,2
TILUDRONATE,3.123,4.623,2.507,-1.391,4.318,3.305,-1.005,0,318.6,4,6,115.1,0.2353,4
TIMOLOL,3.807,2.029,1.83,0.03001,4.637,5.025,-0.5042,0,316.4,2,7,79.74,0.3182,7
TINIDAZOLE,3.253,3.253,-0.2619,-0.2619,3.992,4.546,-0.4074,0,247.3,0,7,97.78,0.3125,5
TIOCONAZOLE,0.4216,0.4216,5.153,5.153,5.123,5.396,0.07231,0,387.7,0,3,27.05,0.24,6
TIOPRONIN,5.362,3.934,-0.3659,-2.079,3.945,2.395,-0.7661,0,163.2,2,4,66.4,0.4444,4
TIOTROPIUM,3.915,2.697,2.69,0.08348,5.1,4.921,-0.4472,0,392.5,1,5,59.06,0.1667,5
TIROFIBAN,2.961,3.697,0.02903,-0.6179,4.263,4.976,-1.263,1,440.6,3,7,104.7,0.4516,14
TIZANIDINE,3.546,2.912,1.506,-0.01104,4.457,4.278,-1.071,0,253.7,2,5,62.2,0.1111,2
TOBRAMYCIN,5.114,6.35,-2.161,-1.697,4.761,1.779,-1.117,1,467.5,10,14,268.2,0.1765,6
TOCAINIDE,4.373,2.896,1.264,-0.03002,4.066,3.547,-0.0723,0,192.3,2,3,55.12,0.2143,3
TOCOPHEROL,-0.4552,-0.4552,8.636,8.636,5.204,6.393,0.4829,1,430.7,1,2,29.46,0.375,12
TOLAZAMIDE,2.582,2.948,1.45,0.6912,4.207,4.935,-0.6956,0,311.4,2,6,78.51,0.2273,5
TOLAZOLINE,4.613,1.803,1.818,-0.4956,4.167,3.983,-0.4719,0,160.2,1,2,24.39,0.1538,2
TOLBUTAMIDE,3.286,2.846,2.15,0.7129,3.771,4.664,-0.5789,0,270.3,2,5,75.27,0.3889,7
TOLCAPONE,0.8002,0.8002,3.113,3.113,5.051,4.396,-0.3893,0,273.2,2,6,103.3,0.1429,3
TOLMETIN,2.313,3.427,2.79,-0.8649,4.604,3.836,-1.003,0,257.3,1,4,59.3,0.2,4
TOLRESTAT,1.253,2.677,3.621,0.97,4.827,4.484,-0.9922,0,357.3,1,4,49.77,0.24,6
TOLTERODINE,2.008,1.245,5.232,2.847,5.027,6.078,0.5234,0,325.5,1,2,23.47,0.28,7
TOPIRAMATE,3.626,3.626,0.8481,0.8481,4.571,3.759,-0.8342,0,339.4,1,9,115.5,0.125,3
TOPOTECAN,2.578,2.152,1.11,0.8458,5.321,5.007,-1.654,1,421.4,2,8,104.9,0.08571,3
TOREMIFENE,1.227,1.26,6.342,3.927,5.387,6.696,0.8802,1,406,0,2,12.47,0.2903,9
TORSEMIDE,2.047,2.626,2.188,1.436,4.652,4.376,-0.6941,0,348.4,3,7,100.2,0.28,7
TRAMADOL,4.234,2.254,2.63,0.7719,4.525,5.091,0.06704,0,263.4,1,3,32.7,0.2,4
TRANDOLAPRIL,2.455,3.625,0.9631,-0.7263,4.308,3.85,-1.826,1,430.5,2,7,95.94,0.3333,11
TRANEXAMIC ACID,5.411,3.95,-1.365,-1.941,4.051,2.972,-1.316,0,157.2,2,3,63.32,0.1818,2
TRANYLCYPROMINE,5.278,2.479,1.518,-0.5547,4.225,4.148,-0.545,0,133.2,1,1,26.02,0.09091,1
TRAVOPROST,1.18,1.18,4.501,4.501,4.913,5.86,-0.0933,1,500.5,3,6,96.22,0.3889,14
TRAZODONE,2.667,2.281,2.736,2.559,5.079,6.399,-0.1654,0,371.9,0,6,45.78,0.1724,5
TREPROSTINIL,1.365,1.709,4.245,0.4185,4.719,4.668,-1.311,1,390.5,3,5,86.99,0.3333,10
TRETI0IN,2.208,2.149,4.594,0.8967,4.84,4.733,-0.494,0,300.4,1,2,37.3,0.2273,5
TRIAMCI0LONE,2.31,2.31,1.16,1.16,4.731,4.042,-1.157,1,394.4,4,6,115.1,0.06452,2
TRIAMCI0LONE ACETONIDE,1.68,1.68,2.494,2.494,4.846,4.454,-0.8549,0,434.5,2,6,93.06,0.05714,2
TRIAMCI0LONE DIACETATE,1.434,1.434,1.92,1.92,4.797,4.163,-1.065,0,478.5,2,8,127.2,0.1622,6
TRIAMCI0LONE HEXACETONIDE,0.88,0.88,3.825,3.825,5.19,4.665,-0.6982,1,532.6,1,7,99.13,0.1429,6
TRIAMTERENE,1.792,1.893,0.9801,1.519,4.603,4.116,-0.1905,1,253.3,3,7,129.6,0.04762,1
TRIAZOLAM,1.324,1.324,2.42,2.42,5.758,4.887,-0.131,0,343.2,0,4,43.07,0.03846,1
TRICHLORMETHIAZIDE,3.32,4.139,0.5598,1.225,4.331,4.445,-0.8276,0,380.7,3,7,118.4,0.09524,2
TRICLOFOS,5.307,3.843,1.006,-0.7814,4.054,4.026,-0.3636,0,229.4,2,4,66.76,0.3333,3
TRICLOSAN,1.241,1.241,4.95,4.95,5.22,5.011,-0.5642,0,289.5,1,2,29.46,0.1111,2
TRIDIHEXETHYL,3.361,0.7003,4.93,1.244,4.467,6.086,0.8015,0,318.5,1,2,20.23,0.3333,8
TRIENTINE,5.708,3.98,-1.525,-2.495,3.812,3.224,-0.6422,0,146.2,4,4,76.1,0.7778,7
TRIFLUOPERAZINE,1.48,2.703,4.759,3.181,5.076,6.948,1.05,1,407.5,0,3,9.72,0.1613,5
TRIFLUPROMAZINE,1.382,1.994,5.54,3.01,5.003,6.191,1.44,1,352.4,0,2,6.48,0.1923,5
TRIFLURIDINE,4.423,4.423,-0.4699,-0.4699,4.127,4.045,-1.204,0,296.2,3,7,104.5,0.1429,3
TRIHEXYPHENIDYL,3.889,1.643,4.257,1.567,4.363,5.995,0.7828,0,301.5,1,2,23.47,0.2083,5
TRILOSTANE,1.942,1.942,2.501,2.501,4.646,4.84,-0.1452,1,329.4,2,4,76.78,0.03571,1
TRIMEPRAZINE,1.674,2.041,4.82,2.953,4.869,5.844,0.5651,0,298.4,0,2,6.48,0.1739,4
TRIMETHADIONE,4.496,4.496,0.236,0.236,3.868,3.614,-0.4131,0,143.1,0,4,46.61,0,0
TRIMETHAPHAN,1.931,0.4126,3.275,1.487,5.075,5.566,0.08324,1,365.5,0,3,23.55,0.1333,4
TRIMETHOBENZAMIDE,3.783,3.51,2.082,1.09,4.928,5.13,-0.1188,1,388.5,1,7,69.26,0.3793,11
TRIMETHOPRIM,3.14,2.836,1.52,0.5,4.247,4.12,-0.137,0,290.3,2,7,105.5,0.2273,5
TRIMETREXATE,1.731,2.391,2.185,1.17,5.112,4.922,-0.337,1,369.4,3,8,117.5,0.2069,6
TRIMIPRAMINE,1.794,0.9944,4.652,4.64,4.746,6.038,0.5456,0,294.4,0,2,6.48,0.1667,4
TRIOXSALEN,2.122,2.122,3.14,3.14,4.593,4.999,-0.1973,0,228.2,0,3,43.35,0,0
TRIPELENNAMINE,3.36,1.534,3.09,1.341,4.569,5.555,0.4858,0,255.4,0,3,19.37,0.3,6
TRIPROLIDINE,2.672,0.9444,3.366,2.251,4.829,5.995,0.8222,0,278.4,0,2,16.13,0.1739,4
TRIPTORELIN,2.652,3.875,0.06742,3.907,5.096,0.8713,-1.335,1,1311,18,31,487.9,0.4216,43
TROGLITAZONE,0.2431,0.2431,4.886,4.886,5.943,5.002,-0.3536,0,441.5,2,6,84.86,0.1471,5
TROLEANDOMYCIN,1.786,4.251,3.382,2.984,5.147,3.749,-1.031,1,814,0,16,184.2,0.2,12
TROMETHAMINE,7.303,3.732,-2.612,-3.289,3.998,3.457,-0.7937,0,121.1,4,4,86.71,0.4286,3
TROPICAMIDE,3.365,3.365,1.366,1.366,4.762,4.509,-0.3784,0,284.4,1,4,53.43,0.3182,7
TROSPIUM,3.304,1.665,3.832,0.7074,4.793,5.988,0.5211,1,392.5,1,4,46.53,0.1515,5
TROVAFLOXACIN,0.4642,1.853,-0.09795,0.2052,5.335,4.526,-1.473,1,416.4,2,7,101.4,0.08824,3
TRYPAN BLUE,2.121,5.258,2.962,1.53,6.306,4.489,-1.271,1,872.9,8,20,359.4,0.1429,9
TUBOCURARINE,1.657,3.906,4.247,3.024,5.77,7.819,-0.5345,1,609.7,2,8,80.62,0.03922,2
TYROPA0ATE,1.225,3.31,3.77,1.325,4.898,3.994,-0.9062,1,641,2,4,66.4,0.3636,8
TYROSINE,4.933,4.233,-2.176,-2.393,3.83,3.022,-1.184,0,181.2,3,4,83.55,0.2308,3
U0PROSTONE ISOPROPYL,1.646,1.646,5.245,5.245,4.76,5.892,-0.08292,1,424.6,2,5,83.83,0.5667,17
URACIL MUSTARD,3.231,2.273,1.463,-0.1572,4.029,5.101,-0.5696,0,252.1,2,5,69.48,0.3333,5
UREA,6.968,6.968,-1.15,-1.15,3.799,2.991,-0.142,0,60.06,2,3,69.11,0,0
URSODIOL,1.71,2.074,4.215,1.085,4.661,4.223,-1.543,1,392.6,3,4,77.76,0.129,4
VALACYCLOVIR,3.718,3.441,-0.7657,-0.3666,4.256,4.139,-1.078,1,324.3,3,10,151.1,0.3333,8
VALDECOXIB,2.117,2.117,3.13,3.13,5.632,4.878,-0.8612,0,314.4,1,5,86.19,0.125,3
VALGANCICLOVIR,3.944,3.546,-1.263,-0.8257,4.384,4.006,-1.194,1,354.4,4,11,171.4,0.3462,9
VALPROIC ACID,4.14,3.368,2.75,0.1868,4.301,3.77,-0.22,0,144.2,1,2,37.3,0.5556,5
VALRUBICIN,-0.3619,-0.3619,3.094,3.094,5.571,3.705,-1.297,1,723.6,5,14,215.2,0.2364,13
VALSARTAN,2.109,3.295,3.361,-0.517,5.082,4.113,-1.761,1,435.5,2,8,112.1,0.3235,11
VANCOMYCIN,2.024,4.402,-1.223,3.199,5.831,0.834,-1.439,1,1449,19,33,530.5,0.1273,14
VARDENAFIL,1.96,2.504,2.846,2.36,5.344,5.847,-1.253,1,488.6,1,10,112.9,0.2162,8
VECURONIUM,2.619,2.807,5.779,2.318,4.901,6.165,0.285,1,557.8,0,6,55.84,0.1333,6
VENLAFAXINE,3.788,2.36,3.118,1.019,4.454,5.806,0.528,0,277.4,1,3,32.7,0.2381,5
VERAPAMIL,2.499,2.941,3.79,1.91,5.315,6.155,0.35,1,454.6,0,6,63.95,0.4118,14
VERTEPORFIN,0.4616,3.036,5.24,2.449,6.03,4.406,-1.69,1,718.8,3,12,173.6,0.2069,12
VIDARABINE,4.587,2.612,-1.05,-1.552,4.334,4.081,-1.383,0,267.2,4,9,139.5,0.09524,2
VINBLASTINE,1.735,2.56,3.483,2.341,5.124,6.082,-0.9597,1,811,3,13,154.1,0.1493,10
VINCRISTINE,1.685,2.392,3.32,2.517,5.152,5.66,-1.03,1,825,3,14,171.2,0.1618,11
VI0RELBINE,1.695,2.59,3.503,2.771,5.391,6.168,-0.6898,1,778.9,2,12,133.9,0.1538,10
VIOMYCIN,4.045,5.252,-2.862,0.533,4.976,-0.1022,-1.074,1,685.7,16,23,390.4,0.2449,12
VITAMIN A,2.195,2.195,4.751,4.751,4.906,5.739,0.02337,0,286.5,1,1,20.23,0.2381,5
VITAMIN A PALMITATE,0.162,0.162,8.364,8.364,4.865,7.296,0.06156,1,524.9,0,2,26.3,0.5526,21
VORICONAZOLE,0.8885,0.8885,2.535,2.535,5.284,5.749,-0.1823,0,349.3,1,6,76.72,0.1852,5
WARFARIN,0.913,3.004,2.7,1.329,5.294,4.983,-1.088,0,308.3,1,4,67.51,0.16,4
XYLOSE,6.52,6.52,-2.019,-2.019,3.851,3.324,-1.047,0,150.1,4,5,90.15,0,0
ZAFIRLUKAST,-0.4468,1.974,5.118,3.225,5.654,6.197,-1.006,1,575.7,2,9,115.7,0.2444,11
ZALCITABINE,4.303,2.632,-1.3,-0.8432,4.04,4.037,-1.175,0,211.2,2,6,90.37,0.125,2
ZALEPLON,2.258,2.258,2.058,2.058,5.054,5.056,-0.7319,0,305.3,0,6,74.29,0.2,5
ZANAMIVIR,5.227,4.247,-2.74,-3.864,4.358,1.235,-1.981,1,332.3,8,11,198.2,0.3478,8
ZIDOVUDINE,5.015,2.417,-0.01806,-0.1003,4.299,3.862,-1.388,0,267.2,2,9,134.1,0.15,3
ZILEUTON,3.214,3.214,2.165,2.165,3.984,4.689,-0.91,0,236.3,2,4,66.56,0.1765,3
ZIPRASIDONE,2.072,0.5309,3.72,3.595,5.462,6.63,-0.186,1,412.9,1,5,48.47,0.125,4
ZOLEDRONIC ACID,5.23,4.794,-0.1733,-3.664,4.007,2.907,-1.35,0,272.1,5,9,153.1,0.25,4
ZOLMITRIPTAN,3.462,1.901,2.129,0.3214,4.367,4.864,-1.04,0,287.4,2,5,57.36,0.2174,5
ZOLPIDEM,2.676,2.676,2.966,2.966,5.321,5.258,-0.4607,0,307.4,0,4,37.61,0.16,4
ZONISAMIDE,3.933,3.933,0.9818,0.9818,3.778,4.884,-0.8108,0,212.2,1,5,86.19,0.1333,2
